audit_tolerance,operating_threshold,operational_step_change,audit_boundary_step_change,operating_threshold_step_size,audit_tolerance_step_size,dataset,model,protected_attribute,fairness_metric
0.18,0.3,,0.0,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.18,0.35,0.0,0.0,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.18,0.4,0.0,0.0,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.18,0.45,0.0,0.0,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.18,0.5,0.0,0.0,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.18,0.55,0.0,0.0,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.18,0.6,0.0,0.0,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.18,0.65,0.0,0.0,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.18,0.7,0.0,0.0,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.19,0.3,,0.0,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.19,0.35,0.0,0.0,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.19,0.4,0.0,0.0,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.19,0.45,0.0,0.0,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.19,0.5,0.0,0.0,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.19,0.55,0.0,0.0,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.19,0.6,0.0,0.0,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.19,0.65,0.0,0.0,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.19,0.7,0.0,0.0,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.2,0.3,,0.0,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.2,0.35,0.0,0.0,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.2,0.4,0.0,0.0,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.2,0.45,0.0,0.0,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.2,0.5,0.0,0.0,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.2,0.55,0.0,0.0,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.2,0.6,0.0,0.0,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.2,0.65,0.0,0.0,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.2,0.7,0.0,0.0,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.21,0.3,,0.0,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.21,0.35,0.0,0.0,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.21,0.4,0.0,0.0,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.21,0.45,0.0,0.0,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.21,0.5,0.0,0.0,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.21,0.55,0.0,0.0,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.21,0.6,0.0,0.0,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.21,0.65,0.0,0.0,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.21,0.7,0.0,0.0,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.22,0.3,,0.0,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.22,0.35,0.0,0.0,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.22,0.4,0.0,0.0,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.22,0.45,0.0,0.0,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.22,0.5,0.0,0.0,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.22,0.55,0.0,0.0,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.22,0.6,0.0,0.0,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.22,0.65,0.0,0.0,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.22,0.7,0.0,0.0,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.23,0.3,,0.0,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.23,0.35,0.0,0.0,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.23,0.4,0.0,0.0,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.23,0.45,0.0,0.0,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.23,0.5,0.0,0.0,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.23,0.55,0.0,0.0,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.23,0.6,0.0,0.0,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.23,0.65,0.0,0.0,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.23,0.7,0.0,0.0,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.24,0.3,,0.0,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
