dataset,model,protected_attribute,fairness_metric,audit_tolerance,p,n_retrainings,mean_violation,sd_violation,mean_min_group_n,mean_min_positive_group_n,mean_min_negative_group_n,verdict_instability,sd_accuracy,sd_auroc,sd_f1,mean_accuracy,mean_auroc,audit_family,effective_support_n,log_effective_support_n,boundary_distance,standardized_boundary_distance,vi_scaled,unstable_region
german,random_forest,age_lt_25,dpr_violation,0.16000000000000003,0.589041095890411,73,0.15249868109602197,0.10024055055131288,23.91780821917808,14.246575342465754,9.67123287671233,0.4841433664852693,0.024243063964623297,0.03156103788977713,0.01575089282390164,0.7548,0.789310052910053,german__random_forest__age_lt_25__dpr_violation,23.91780821917808,3.215582737369731,0.007501318903978066,0.07483317741893447,0.9682867329705386,1
german,random_forest,age_lt_25,dpr_violation,0.17000000000000004,0.6301369863013698,73,0.15249868109602197,0.10024055055131288,23.91780821917808,14.246575342465754,9.67123287671233,0.46612872959279417,0.024243063964623297,0.03156103788977713,0.01575089282390164,0.7548,0.789310052910053,german__random_forest__age_lt_25__dpr_violation,23.91780821917808,3.215582737369731,0.017501318903978075,0.17459320412470394,0.9322574591855883,1
german,random_forest,age_lt_25,dpr_violation,0.18000000000000005,0.6575342465753424,73,0.15249868109602197,0.10024055055131288,23.91780821917808,14.246575342465754,9.67123287671233,0.45036592231187844,0.024243063964623297,0.03156103788977713,0.01575089282390164,0.7548,0.789310052910053,german__random_forest__age_lt_25__dpr_violation,23.91780821917808,3.215582737369731,0.027501318903978084,0.2743532308304734,0.9007318446237569,1
german,random_forest,age_lt_25,dpr_violation,0.18999999999999995,0.726027397260274,73,0.15249868109602197,0.10024055055131288,23.91780821917808,14.246575342465754,9.67123287671233,0.3978232313754926,0.024243063964623297,0.03156103788977713,0.01575089282390164,0.7548,0.789310052910053,german__random_forest__age_lt_25__dpr_violation,23.91780821917808,3.215582737369731,0.03750131890397798,0.3741132575362418,0.7956464627509852,1
german,random_forest,age_lt_25,dpr_violation,0.19999999999999996,0.7397260273972602,73,0.15249868109602197,0.10024055055131288,23.91780821917808,14.246575342465754,9.67123287671233,0.3850628635766561,0.024243063964623297,0.03156103788977713,0.01575089282390164,0.7548,0.789310052910053,german__random_forest__age_lt_25__dpr_violation,23.91780821917808,3.215582737369731,0.04750131890397799,0.4738732842420113,0.7701257271533122,1
german,random_forest,age_lt_25,dpr_violation,0.20999999999999996,0.7534246575342466,73,0.15249868109602197,0.10024055055131288,23.91780821917808,14.246575342465754,9.67123287671233,0.37155188590729965,0.024243063964623297,0.03156103788977713,0.01575089282390164,0.7548,0.789310052910053,german__random_forest__age_lt_25__dpr_violation,23.91780821917808,3.215582737369731,0.057501318903978,0.5736333109477808,0.7431037718145993,1
german,random_forest,age_lt_25,dpr_violation,0.21999999999999997,0.7671232876712328,73,0.15249868109602197,0.10024055055131288,23.91780821917808,14.246575342465754,9.67123287671233,0.3572902983674236,0.024243063964623297,0.03156103788977713,0.01575089282390164,0.7548,0.789310052910053,german__random_forest__age_lt_25__dpr_violation,23.91780821917808,3.215582737369731,0.06750131890397801,0.6733933376535503,0.7145805967348472,1
german,random_forest,age_lt_25,dpr_violation,0.22999999999999998,0.7808219178082192,73,0.15249868109602197,0.10024055055131288,23.91780821917808,14.246575342465754,9.67123287671233,0.3422781009570276,0.024243063964623297,0.03156103788977713,0.01575089282390164,0.7548,0.789310052910053,german__random_forest__age_lt_25__dpr_violation,23.91780821917808,3.215582737369731,0.07750131890397802,0.7731533643593197,0.6845562019140552,1
german,random_forest,age_lt_25,dpr_violation,0.24,0.7945205479452054,73,0.15249868109602197,0.10024055055131288,23.91780821917808,14.246575342465754,9.67123287671233,0.3265152936761119,0.024243063964623297,0.03156103788977713,0.01575089282390164,0.7548,0.789310052910053,german__random_forest__age_lt_25__dpr_violation,23.91780821917808,3.215582737369731,0.08750131890397803,0.8729133910650893,0.6530305873522237,1
german,random_forest,age_lt_25,dpr_violation,0.25,0.821917808219178,73,0.15249868109602197,0.10024055055131288,23.91780821917808,14.246575342465754,9.67123287671233,0.292737849502721,0.024243063964623297,0.03156103788977713,0.01575089282390164,0.7548,0.789310052910053,german__random_forest__age_lt_25__dpr_violation,23.91780821917808,3.215582737369731,0.09750131890397803,0.9726734177708587,0.585475699005442,1
