dataset,model,seed,protected_attribute,operating_threshold,n_test,accuracy,f1,auroc,n_group0,n_group1,n_min_group,n_positive_group0,n_positive_group1,n_min_positive_group,n_negative_group0,n_negative_group1,n_min_negative_group,selection_rate_group0,selection_rate_group1,tpr_group0,tpr_group1,fpr_group0,fpr_group1,dpd_signed,dpd_violation,dpr_symmetric,dpr_violation,eod_signed,eod_violation,equalized_odds_violation,dpd_defined,dpr_defined,eod_defined,equalized_odds_defined,min_group_ok,min_positive_group_ok,min_negative_group_ok,dpd_analysis_valid,dpr_analysis_valid,eod_analysis_valid,equalized_odds_analysis_valid
adult,hist_gradient_boosting,0,sex,0.4,7327,0.8659751603657705,0.7253914988814317,0.9259342894880497,4917,2410,2410,1501,252,252,3416,2158,2158,0.3278421801911735,0.087551867219917,0.7574950033311126,0.6349206349206349,0.13905152224824355,0.023632993512511583,-0.2402903129712565,0.2402903129712565,0.26705492004983367,0.7329450799501663,-0.12257436841047775,0.12257436841047775,0.12257436841047775,True,True,True,True,True,True,True,True,True,True,True
adult,hist_gradient_boosting,0,race,0.4,7327,0.8659751603657705,0.7253914988814317,0.9259342894880497,6288,1039,1039,1604,149,149,4684,890,890,0.2663804071246819,0.1424446583253128,0.7475062344139651,0.6577181208053692,0.10162254483347566,0.056179775280898875,-0.12393574879936911,0.12393574879936911,0.5347414994325773,0.4652585005674227,-0.08978811360859595,0.08978811360859595,0.08978811360859595,True,True,True,True,True,True,True,True,True,True,True
adult,hist_gradient_boosting,0,sex,0.45,7327,0.8717073836495155,0.7235294117647059,0.9259342894880497,4917,2410,2410,1501,252,252,3416,2158,2158,0.2965222696766321,0.07842323651452282,0.7201865423051299,0.5912698412698413,0.11036299765807962,0.018535681186283594,-0.21809903316210927,0.21809903316210927,0.2644767173812817,0.7355232826187184,-0.12891670103528863,0.12891670103528863,0.12891670103528863,True,True,True,True,True,True,True,True,True,True,True
adult,hist_gradient_boosting,0,race,0.45,7327,0.8717073836495155,0.7235294117647059,0.9259342894880497,6288,1039,1039,1604,149,149,4684,890,890,0.240617048346056,0.1289701636188643,0.7119700748129676,0.5906040268456376,0.07920580700256191,0.051685393258426963,-0.1116468847271917,0.1116468847271917,0.5359976132421802,0.4640023867578198,-0.12136604796732997,0.12136604796732997,0.12136604796732997,True,True,True,True,True,True,True,True,True,True,True
adult,hist_gradient_boosting,0,sex,0.5,7327,0.8748464583048997,0.716011148962527,0.9259342894880497,4917,2410,2410,1501,252,252,3416,2158,2158,0.2649989831197885,0.07178423236514522,0.6735509660226515,0.5753968253968254,0.08548009367681499,0.012974976830398516,-0.19321475075464326,0.19321475075464326,0.2708849351799072,0.7291150648200928,-0.09815414062582617,0.09815414062582617,0.09815414062582617,True,True,True,True,True,True,True,True,True,True,True
adult,hist_gradient_boosting,0,race,0.5,7327,0.8748464583048997,0.716011148962527,0.9259342894880497,6288,1039,1039,1604,149,149,4684,890,890,0.21596692111959287,0.11357074109720885,0.669576059850374,0.5503355704697986,0.06063193851409052,0.04044943820224719,-0.10239618002238401,0.10239618002238401,0.5258710014869288,0.4741289985130712,-0.11924048938057541,0.11924048938057541,0.11924048938057541,True,True,True,True,True,True,True,True,True,True,True
adult,hist_gradient_boosting,0,sex,0.55,7327,0.8725262726900505,0.6983204134366925,0.9259342894880497,4917,2410,2410,1501,252,252,3416,2158,2158,0.2422208663819402,0.06307053941908713,0.6322451698867422,0.5238095238095238,0.07084309133489461,0.009267840593141797,-0.17915032696285307,0.17915032696285307,0.26038441840776777,0.7396155815922323,-0.10843564607721834,0.10843564607721834,0.10843564607721834,True,True,True,True,True,True,True,True,True,True,True
adult,hist_gradient_boosting,0,race,0.55,7327,0.8725262726900505,0.6983204134366925,0.9259342894880497,6288,1039,1039,1604,149,149,4684,890,890,0.196882951653944,0.10105871029836382,0.6253117206982544,0.5234899328859061,0.050170794192997435,0.030337078651685393,-0.0958242413555802,0.0958242413555802,0.5132933524685878,0.48670664753141224,-0.1018217878123483,0.1018217878123483,0.1018217878123483,True,True,True,True,True,True,True,True,True,True,True
adult,hist_gradient_boosting,0,sex,0.6,7327,0.8699331240616897,0.675960557633458,0.9259342894880497,4917,2410,2410,1501,252,252,3416,2158,2158,0.21374822045962985,0.05684647302904564,0.580946035976016,0.48412698412698413,0.052400468384074944,0.006950880444856348,-0.15690174743058422,0.15690174743058422,0.26595062595986435,0.7340493740401357,-0.09681905184903189,0.09681905184903189,0.09681905184903189,True,True,True,True,True,True,True,True,True,True,True
adult,hist_gradient_boosting,0,race,0.6,7327,0.8699331240616897,0.675960557633458,0.9259342894880497,6288,1039,1039,1604,149,149,4684,890,890,0.1743002544529262,0.08854667949951876,0.5748129675810474,0.48322147651006714,0.037147736976942784,0.02247191011235955,-0.08575357495340745,0.08575357495340745,0.5080123363986989,0.4919876636013011,-0.09159149107098025,0.09159149107098025,0.09159149107098025,True,True,True,True,True,True,True,True,True,True,True
